Row Id,Track Name,Album Name,Artist Name(s),Release Date,Genres,Duration
351,Apocalypse,Cigarettes After S*x,Cigarettes After S*x,2017-06-09,"ambient pop,dream pop,el paso indie,shoegaze",290146
352,Space Song,Depression Cherry,Beach House,2015-08-28,"art pop,baltimore indie,dream pop,dreamo,indie pop,indie rock,indietronica,modern dream pop",320466
353,Become the Warm Jets,A Different Age,Current Joys,2018-03-02,"lo-fi indie,pov: indie",334901
354,This Side of Paradise,Color,Coyote Theory,2011-06-21,alternative hip hop,242013
355,Put Your Records On,Put Your Records On,Ritt Momney,2020-04-24,bedroom pop,210463
356,Mind Over Matter (Reprise),Mirrorball / Mind Over Matter (Reprise),Young the Giant,2015-04-18,"indietronica,modern alternative rock,modern rock,pov: indie,stomp and holler",230866
357,Soulmate Song,Soulmate Song,Carson James Argenna,2020-09-18,alternative hip hop,211083
358,Nobody Gets Me (Like You),Nobody Gets Me (Like You),Wallows,2020-09-09,pov: indie,157613
359,we fell in love in october,we fell in love in october / forget her,girl in red,2018-11-21,"bedroom pop,indie pop,norwegian indie,pop,pov: indie",184153
360,Mountains,Folding Leaves,Message To Bears,2012,"compositional ambient,folktronica",234000
361,Young,Vibes,Vacations,2016-12-09,newcastle nsw indie,189160
362,Kids,Kids,Current Joys,2015-03-08,"lo-fi indie,pov: indie",269142
363,Michelle,Michelle,Sir Chloe,2019-04-11,"indie pop,pov: indie",214087
364,Heather,Kid Krow,Conan Gray,2020-03-20,"bedroom pop,pop,pov: indie",198040
365,505,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,"garage rock,modern rock,permanent wave,rock,sheffield indie",253586
366,I Exist I Exist I Exist,"Scotland, I Wish You Had Stayed.",Flatsound,2009-09-09,"bedroom pop,lo-fi emo,lo-fi indie",314500
367,My Tears Are Becoming A Sea,"Hurry Up, We're Dreaming",M83,2011,"french shoegaze,french synthpop,indietronica,metropopolis,neo-synthpop",151826
368,Sparks,Parachutes,Coldplay,2000-07-10,"permanent wave,pop",227093
369,i was all over her,melanchole,salvia palth,2013-01-01,"countrygaze,lo-fi emo,lo-fi indie,pov: indie,slowcore,small room",161462
370,welcome and goodbye,welcome and goodbye,"Dream, Ivory",2018-03-31,modern dream pop,140643
371,Sleep Thru Ur Alarms,Surrender (2014 - 2017),Lontalius,2019-04-26,nz pop,112863
372,"Dream, Ivory","Dream, Ivory","Dream, Ivory",2017-03-09,modern dream pop,188250
373,Swing Lynn,I'm Sure,Harmless,2012-08-14,modern dream pop,321438
374,A Sad Song About a Girl I No Longer Know,Bedside Kites,Bedside Kites,2018-05-05,lo-fi indie,328421
375,"no, the moon",i will be my own h**l because there is a devil inside my body,Teen Suicide,2015-10-07,"lo-fi emo,lo-fi indie,pov: indie",152169
376,Sign of the Times,Harry Styles,Harry Styles,2017-05-12,pop,340706
377,Brooklyn Baby,Ultraviolence (Deluxe),Lana Del Rey,2014-01-01,"art pop,pop",351640
378,Love Is Only a Feeling,Love Is Only a Feeling,Joey Bada$$,2017-07-06,"conscious hip hop,hip hop,rap",152041
379,Driftin',ELEVATORS: Act I & II,Bishop Nehru,2018-03-16,"alternative hip hop,underground hip hop",174340
380,Photosynthesis,Bucket List Project,"Saba,Jean Deaux",2016-10-27,"alternative r&b,chicago rap",201732
381,BUSY / SIRENS,CARE FOR ME,"Saba,theMIND",2018-04-05,"alternative r&b,chicago rap,indie hip hop",329541
382,CALLIGRAPHY,CARE FOR ME,Saba,2018-04-05,"alternative r&b,chicago rap",184250
383,2012,QUARTERTHING,Joey Purp,2018-09-13,"chicago rap,indie hip hop,underground hip hop",183880
384,Nikes,Blonde,Frank Ocean,2016-08-20,"lgbtq+ hip hop,neo soul",314075
385,Ivy,Blonde,Frank Ocean,2016-08-20,"lgbtq+ hip hop,neo soul",249191
386,Pink + White,Blonde,Frank Ocean,2016-08-20,"lgbtq+ hip hop,neo soul",184516
387,Be Yourself,Blonde,Frank Ocean,2016-08-20,"lgbtq+ hip hop,neo soul",86943
388,Self Control,Blonde,Frank Ocean,2016-08-20,"lgbtq+ hip hop,neo soul",249667
389,Solo,Blonde,Frank Ocean,2016-08-20,"lgbtq+ hip hop,neo soul",257380
390,Nights,Blonde,Frank Ocean,2016-08-20,"lgbtq+ hip hop,neo soul",307151
391,Thinkin Bout You,channel ORANGE,Frank Ocean,2012-07-10,"lgbtq+ hip hop,neo soul",200746
392,Super Rich Kids,channel ORANGE,"Frank Ocean,Earl Sweatshirt",2012-07-10,"lgbtq+ hip hop,neo soul,drumless hip hop,experimental hip hop,hip hop,rap,underground hip hop",304760
393,Pilot Jones,channel ORANGE,Frank Ocean,2012-07-10,"lgbtq+ hip hop,neo soul",184080
394,Crack Rock,channel ORANGE,Frank Ocean,2012-07-10,"lgbtq+ hip hop,neo soul",224146
395,Pyramids,channel ORANGE,Frank Ocean,2012-07-10,"lgbtq+ hip hop,neo soul",592920
396,Pink Matter,channel ORANGE,"Frank Ocean,André 3000",2012-07-10,"lgbtq+ hip hop,neo soul,atl hip hop,dirty south rap,hip hop,southern hip hop",268813
397,Chanel,Chanel,Frank Ocean,2017-03-10,"lgbtq+ hip hop,neo soul",210285
398,Moon River,Moon River,Frank Ocean,2018-02-14,"lgbtq+ hip hop,neo soul",188323
399,RUNNING OUT OF TIME,IGOR,"Tyler, The Creator",2019-05-17,"hip hop,rap",177226
400,I THINK,IGOR,"Tyler, The Creator",2019-05-17,"hip hop,rap",212013
401,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator,Kali Uchis",2017-07-21,"hip hop,rap,colombian pop",180386
402,NEW MAGIC WAND,IGOR,"Tyler, The Creator",2019-05-17,"hip hop,rap",195320
403,Foreword (feat. Rex Orange County),Flower Boy,"Tyler, The Creator,Rex Orange County",2017-07-21,"hip hop,rap,bedroom pop",194080
404,Sometimes...,Flower Boy,"Tyler, The Creator",2017-07-21,"hip hop,rap",36160
405,Pothole (feat. Jaden Smith),Flower Boy,"Tyler, The Creator,Jaden",2017-07-21,"hip hop,rap,pop rap",237000
406,November,Flower Boy,"Tyler, The Creator",2017-07-21,"hip hop,rap",225346
407,Droppin' Seeds (feat. Lil' Wayne),Flower Boy,"Tyler, The Creator,Lil Wayne",2017-07-21,"hip hop,rap,new orleans rap,pop rap,trap",60000
408,FACE,SATURATION,BROCKHAMPTON,2017-06-09,"boy band,rap",259000
409,Where This Flower Blooms (feat. Frank Ocean),Flower Boy,"Tyler, The Creator,Frank Ocean",2017-07-21,"hip hop,rap,lgbtq+ hip hop,neo soul",194933
410,Chum,Doris,Earl Sweatshirt,2013-08-16,"drumless hip hop,experimental hip hop,hip hop,rap,underground hip hop",243773
411,Sunflower,Sunflower,Rex Orange County,2017-03-22,bedroom pop,252230
412,Peach,ARIZONA BABY,Kevin Abstract,2019-04-25,"afrofuturism,lgbtq+ hip hop",176732
413,Frank's Track,The Life Of Pablo,Kanye West,2016-06-10,"chicago rap,hip hop,rap",38333
414,Turf,Good For You,Aminé,2017-07-28,"pop rap,portland hip hop,rap,underground hip hop",265840
415,Sober,Kauai,Childish Gambino,2014-10-03,"atl hip hop,hip hop,rap",252026
416,White (feat. Frank Ocean),The OF Tape Vol. 2,"Odd Future,Frank Ocean",2012-03-16,"underground hip hop,lgbtq+ hip hop,neo soul",122933
417,Glitter,Flower Boy,"Tyler, The Creator",2017-07-21,"hip hop,rap",224893
418,BLEACH,SATURATION III,BROCKHAMPTON,2017-12-15,"boy band,rap",273151
419,1999 WILDFIRE,1999 WILDFIRE,BROCKHAMPTON,2018-07-07,"boy band,rap",251250
420,Loving Is Easy (feat. Benny Sings),Loving Is Easy (feat. Benny Sings),"Rex Orange County,Benny Sings",2017-10-11,"bedroom pop,dutch pop,indie soul",155720
421,Empty,American Boyfriend: A Suburban Love Story,Kevin Abstract,2016-11-18,"afrofuturism,lgbtq+ hip hop",194336
422,30 Hours,The Life Of Pablo,Kanye West,2016-06-10,"chicago rap,hip hop,rap",323302
423,No More Parties In LA,The Life Of Pablo,Kanye West,2016-06-10,"chicago rap,hip hop,rap",374413
